,xl,yl,xr,yr
162,53.53,-6.789999999999999,53.53,-9.79
163,54.01059388759833,-6.780288267514912,54.069406112401666,-9.779711732485087
164,54.57,-6.779999999999999,54.57,-9.78
165,55.05059388759833,-6.770288267514912,55.109406112401665,-9.769711732485087
166,55.58,-6.77,55.58,-9.77
167,56.07549057283929,-6.750990753080352,56.18450942716071,-9.749009246919648
168,56.52833490508074,-6.7228034496521705,56.711665094919255,-9.71719655034783
169,57.049192471727025,-6.684098368314936,57.27080752827297,-9.675901631685063
170,57.49772946797991,-6.637748786203101,57.80227053202009,-9.6222512137969
171,57.9701770083658,-6.566194806469195,58.409822991634194,-9.533805193530807
172,58.42340151904197,-6.490409114251785,58.91659848095804,-9.449590885748215
173,58.89517531475092,-6.391299243799882,59.50482468524908,-9.328700756200119
174,59.361442486539914,-6.286425621859645,60.01855751346008,-9.213574378140354
175,59.84532389131184,-6.1528542681434,60.63467610868816,-9.047145731856599
176,60.32675051401267,-6.0109517476430945,61.17324948598733,-8.889048252356906
177,60.803891715538875,-5.854257012236532,61.73610828446113,-8.705742987763468
178,61.28902846626461,-5.673376858914445,62.330971533735394,-8.486623141085555
179,61.75770821826368,-5.491458036574786,62.842291781736314,-8.288541963425214
180,62.21324097783345,-5.28819699336257,63.42675902216655,-8.03180300663743
181,62.691304445505175,-5.0627719466985095,63.96869555449482,-7.77722805330149
182,63.179524253317496,-4.808368202826607,64.5604757466825,-7.4716317971733925
183,63.67998287691596,-4.53410663712223,65.12001712308405,-7.165893362877769
184,64.10069914685366,-4.286376324269211,65.61930085314634,-6.873623675730789
